noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
10.0,0.8149020532269964,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
21.544346900318832,0.7195037485794543,0.06666666666666667,0.016101529717988266,265991.26957472716,1.0,0.0,0.06666666666666667,0.9333333333333333
46.41588833612777,0.6670811245830978,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.6409784588948678,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.627043841480847,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.6115278670249207,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.582216282145852,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.5496919229259313,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.5272722086565089,0.9916666666666667,0.005867952826188214,2374.922049774349,1.0,0.0,0.9916666666666667,0.008333333333333333
10000.0,0.5145569531613012,0.8125,0.02519455546343297,53435.74611992285,1.0,0.0,0.8125,0.1875
21544.346900318822,0.507536458855743,0.5541666666666667,0.03208491157734311,127058.32966292769,1.0,0.0,0.5541666666666667,0.44583333333333336
46415.888336127726,0.5037706263565925,0.4666666666666667,0.03220305943597653,151995.01118555834,1.0,0.0,0.4666666666666667,0.5333333333333333
100000.0,0.501811495843637,0.5,0.03227486121839514,142495.32298646096,1.0,0.0,0.5,0.5
