noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_lo,p_tracked_hi,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,1.0,0.9842460800584412,1.0,0.0,0.0,0.243494400559944,0.0,1.0,0.0
10.0,0.998590830299514,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21.544346900318832,0.9975007549660803,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.41588833612777,0.9953093118427667,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.9908974736927845,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.9817805320636388,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.9410398894957958,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.8310049926052288,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.7014440158986187,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.6108808810415757,0.9958333333333333,0.9767799274163702,0.9992641019749173,0.0041579770499785215,1249.7076719492522,1.0,0.0,0.9958333333333333,0.004166666666666667
10000.0,0.5592869543452201,0.7958333333333333,0.7403647376289731,0.8419808597389379,0.02601943495486346,61235.675925513366,1.0,0.0,0.7958333333333333,0.20416666666666666
21544.346900318822,0.5307290535527635,0.5958333333333333,0.5327112876809579,0.6559358776635766,0.03167648787759241,121221.64417907746,1.0,0.0,0.5958333333333333,0.4041666666666667
46415.888336127726,0.5153851942374306,0.5583333333333333,0.49507883174387257,0.6197498775962789,0.032054460312504494,132469.01322662074,1.0,0.0,0.5583333333333333,0.44166666666666665
100000.0,0.5073936660366379,0.5208333333333334,0.45780145798620797,0.5832087953495604,0.03224683267535887,143716.382274164,1.0,0.0,0.5208333333333334,0.4791666666666667
