noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_lo,p_tracked_hi,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,0.0,0.0,0.015753919941558815,0.0,284990.6459729219,1.0,0.0,0.0,1.0
10.0,0.8149020532269964,0.0,0.0,0.015753919941558815,0.0,284990.6459729219,1.0,0.0,0.0,1.0
21.544346900318832,0.7195037485794543,0.058333333333333334,0.03506243642079224,0.09552019286091806,0.015128691774731046,268366.1916245015,1.0,0.0,0.058333333333333334,0.9416666666666667
46.41588833612777,0.6670811245830978,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.6409784588948678,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.627043841480847,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.6115278670249207,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.582216282145852,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.5496919229259313,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.5272722086565089,0.9958333333333333,0.9767799274163702,0.9992641019749173,0.0041579770499785215,1187.4610248871745,1.0,0.0,0.9958333333333333,0.004166666666666667
10000.0,0.5145569531613012,0.7833333333333333,0.7269687195982353,0.8307707257682146,0.02659277958254695,61747.97329413307,1.0,0.0,0.7833333333333333,0.21666666666666667
21544.346900318822,0.507536458855743,0.5875,0.5243172909706177,0.6479257730396095,0.0317768095472154,117558.6414638303,1.0,0.0,0.5875,0.4125
46415.888336127726,0.5037706263565925,0.5541666666666667,0.490919533721299,0.6157071249516988,0.03208491157734311,127058.32966292769,1.0,0.0,0.5541666666666667,0.44583333333333336
100000.0,0.501811495843637,0.5208333333333334,0.45780145798620797,0.5832087953495604,0.03224683267535887,136558.0178620251,1.0,0.0,0.5208333333333334,0.4791666666666667
