noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,1.0,0.0,0.0,0.24290695930406958,0.0,1.0,0.0
10.0,0.998604857363569,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21.544346900318832,0.9975225099562558,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.41588833612777,0.9953420906874305,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.9909386556775125,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.9818803587782328,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.9412562427961897,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.8313178553582642,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.7017402999321583,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.6111785724246074,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10000.0,0.5596178529629081,0.8291666666666667,0.02429414414658015,51240.963219147096,1.0,0.0,0.8291666666666667,0.17083333333333334
21544.346900318822,0.530990541942969,0.55,0.032113081446662826,134976.1957967777,1.0,0.0,0.55,0.45
46415.888336127726,0.5155579117547311,0.4625,0.03218396016133917,161221.5672017067,1.0,0.0,0.4625,0.5375
100000.0,0.5074907202759262,0.5041666666666667,0.032273740544035236,148723.77129459765,1.0,0.0,0.5041666666666667,0.49583333333333335
