noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,1.0,0.0,0.0,0.24290695930406958,0.0,1.0,0.0
10.0,0.998590830299514,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21.544346900318832,0.9975007549660803,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.41588833612777,0.9953093118427667,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.9908974736927845,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.9817805320636388,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.9410398894957958,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.8310049926052288,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.7014440158986187,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.6108808810415757,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10000.0,0.5592869543452201,0.8291666666666667,0.02429414414658015,187595091.80737397,1.0,0.0,0.8291666666666667,0.17083333333333334
21544.346900318822,0.5307290535527635,0.5625,0.03202172114362375,480426454.6286406,1.0,0.0,0.5625,0.4375
46415.888336127726,0.5153851942374306,0.4666666666666667,0.03220305943597653,585662725.6425334,1.0,0.0,0.4666666666666667,0.5333333333333333
100000.0,0.5073936660366379,0.5041666666666667,0.032273740544035236,544483315.2457927,1.0,0.0,0.5041666666666667,0.49583333333333335
