selfish_weight,noise_sd,p_tracked,expected_share_optimal,expected_share_other,expected_share_abstain
1.0,0.0,0.0,0.21251774265581064,0.7874822573441893,0.0
1.0,10.0,0.0,0.3973896925458156,0.6026103074541844,0.0
1.0,50.0,1.0,0.5472904144589213,0.45270958554107865,0.0
1.0,200.0,1.0,0.5782430362622317,0.4217569637377683,0.0
1.0,1000.0,1.0,0.5556336821007996,0.44436631789920045,0.0
1.0,3000.0,0.9999807773065534,0.520564700860829,0.47943529913917105,0.0
1.0,10000.0,0.7845673807334886,0.5039382404597056,0.4960617595402944,0.0
1.0,30000.0,0.545503886612995,0.500571519971691,0.499428480028309,0.0
0.98,0.0,0.0,0.28859751249313115,0.7114024875068689,0.0
0.98,10.0,3.9769854465188104e-08,0.47319907838529107,0.5268009216147089,0.0
0.98,50.0,1.0,0.5655157145817677,0.43448428541823225,0.0
0.98,200.0,1.0,0.582889987051563,0.41711001294843697,0.0
0.98,1000.0,1.0,0.5567103506056965,0.4432896493943035,0.0
0.98,3000.0,0.9999863515013399,0.5209551150286614,0.47904488497133857,0.0
0.98,10000.0,0.7915108435010401,0.5040580369575813,0.49594196304241867,0.0
0.98,30000.0,0.5486865502457376,0.5006116869839762,0.4993883130160238,0.0
0.9,0.0,1.0,0.9619152958254654,0.03808470417453458,0.0
0.9,10.0,1.0,0.828337395409377,0.171662604590623,0.0
0.9,50.0,1.0,0.6466881179434626,0.3533118820565374,0.0
0.9,200.0,1.0,0.6035399518064841,0.3964600481935159,0.0
0.9,1000.0,1.0,0.5614914901262906,0.4385085098737094,0.0
0.9,3000.0,0.9999972257763046,0.5226899859327729,0.47731001406722706,0.0
0.9,10000.0,0.8207367262136374,0.5045904587529364,0.4954095412470636,0.0
0.9,30000.0,0.5627910941068379,0.5007902068876969,0.49920979311230307,0.0
0.75,0.0,1.0,0.9709559073369336,0.0290440926630664,0.0
0.75,10.0,1.0,0.9709089306081624,0.029091069391837587,0.0
0.75,50.0,1.0,0.8193798949424391,0.18062010505756088,0.0
0.75,200.0,1.0,0.6536383676108207,0.3463616323891793,0.0
0.75,1000.0,1.0,0.5731733711591889,0.42682662884081113,0.0
0.75,3000.0,0.9999999658785432,0.5269381538654613,0.4730618461345387,0.0
0.75,10000.0,0.8808225250042578,0.5058948383275377,0.4941051616724623,0.0
0.75,30000.0,0.5969765332675872,0.5012275794253904,0.4987724205746096,0.0
0.5,0.0,1.0,0.9718866553064958,0.02811334469350424,0.0
0.5,10.0,1.0,0.9718969161220824,0.0281030838779176,0.0
0.5,50.0,1.0,0.9700466481068424,0.02995335189315762,0.0
0.5,200.0,1.0,0.7890312270795841,0.21096877292041594,0.0
0.5,1000.0,1.0,0.6078495627667277,0.39215043723327225,0.0
0.5,3000.0,0.9999999999999991,0.5396590067799656,0.4603409932200344,0.0
0.5,10000.0,0.9751161061032735,0.5098073945978968,0.4901926054021032,0.0
0.5,30000.0,0.6942622261036687,0.5025396819455186,0.49746031805448143,0.0
0.25,0.0,1.0,0.9749953714932971,0.02500462850670293,0.0
0.25,10.0,1.0,0.9750494122677753,0.024950587732224694,0.0
0.25,50.0,1.0,0.9750655980130762,0.02493440198692376,0.0
0.25,200.0,1.0,0.9642031321061367,0.03579686789386327,0.0
0.25,1000.0,1.0,0.7061235633106517,0.29387643668934826,0.0
0.25,3000.0,1.0,0.5774947568222006,0.42250524317779936,0.0
0.25,10000.0,0.9999918933654323,0.5215365393708679,0.47846346062913214,0.0
0.25,30000.0,0.9023949816665671,0.5064757304817527,0.49352426951824735,0.0
0.0,0.0,1.0,1.0,0.0,0.0
0.0,10.0,1.0,1.0,0.0,0.0
0.0,50.0,1.0,1.0,0.0,0.0
0.0,200.0,1.0,1.0,0.0,0.0
0.0,1000.0,1.0,1.0,0.0,0.0
0.0,3000.0,1.0,1.0,0.0,0.0
0.0,10000.0,1.0,1.0,0.0,0.0
0.0,30000.0,1.0,1.0,0.0,0.0
