position,gini,ede_change_dollars,transfer_per_adult,share_households_gaining,mean_gain_bottom_half
0.0,0.45409574250721807,0.0,0.0,0.0,0.0
0.025,0.4530599015236376,255.68921186568332,120.22254732304287,0.6851301856061307,167.4659953219832
0.05,0.452024854010066,500.9241662333807,240.44509464608575,0.6855466358677442,334.9319906439664
0.07500000000000001,0.4509908010004813,738.2135765754501,360.6676419691286,0.6857123860555706,502.3979859659496
0.1,0.44995763763869934,969.1142523705057,480.8901892921715,0.6859125195657468,669.8639812879328
0.125,0.4489254623604819,1194.678361528102,601.1127366152143,0.686061852737537,837.3299766099159
0.15000000000000002,0.4478943877683339,1415.6601052381448,721.3352839382572,0.6861296535525033,1004.7959719318992
0.17500000000000002,0.4468644416533615,1632.6240736709296,841.5578312613002,0.6861296535525033,1172.2619672538824
0.2,0.4458356254348458,1846.0073002105783,961.780378584343,0.6861356605666248,1339.7279625758656
0.225,0.4448079520208401,2056.157223606322,1082.0029259073858,0.6861369385195332,1507.1939578978486
0.25,0.4437814218182613,2263.356138647563,1202.2254732304286,0.6861369385195332,1674.6599532198318
0.275,0.4427560426281427,2467.837610597009,1322.4480205534717,0.6861369385195332,1842.125948541815
0.30000000000000004,0.4417318275478387,2669.7978774060175,1442.6705678765145,0.6861546844874274,2009.5919438637984
0.325,0.4407087714631681,2869.4040005403513,1562.8931151995573,0.6861546844874274,2177.057939185782
0.35000000000000003,0.43968687641424664,3066.799835702637,1683.1156625226004,0.6861546844874274,2344.523934507765
0.375,0.4386661082344293,3262.1104998304654,1803.338209845643,0.6861546844874274,2511.989929829748
0.4,0.4376465114791399,3455.445775193759,1923.560757168686,0.6861546844874274,2679.455925151731
0.42500000000000004,0.4366280982721271,3646.902745934349,2043.7833044917288,0.6861546844874274,2846.921920473715
0.45,0.4356108752702318,3836.567869746301,2164.0058518147716,0.6861546844874274,3014.387915795697
0.47500000000000003,0.43459484671343707,4024.5186268277757,2284.2283991378144,0.6861546844874274,3181.853911117681
0.5,0.433580011284337,4210.8248476677545,2404.4509464608573,0.686161255216071,3349.3199064396636
0.525,0.4325663775055226,4395.549793505357,2524.6734937839,0.686161255216071,3516.785901761647
0.55,0.43155396073146135,4578.751043958793,2644.8960411069434,0.686161255216071,3684.25189708363
0.5750000000000001,0.4305427617744284,4760.48123262827,2765.118588429986,0.686161255216071,3851.717892405614
0.6000000000000001,0.42953278234844716,4940.788661608109,2885.341135753029,0.686161255216071,4019.183887727597
0.625,0.4285240343457507,5119.717818635123,3005.5636830760714,0.686161255216071,4186.64988304958
0.65,0.42751653243320786,5297.309815270943,3125.7862303991146,0.686161255216071,4354.115878371564
0.675,0.4265102757707451,5473.60276052542,3246.0087777221574,0.686161255216071,4521.581873693546
0.7000000000000001,0.42550527010013284,5648.632081306947,3366.2313250452007,0.686161255216071,4689.04786901553
0.7250000000000001,0.4245015252629667,5822.4307987676,3486.4538723682435,0.686161255216071,4856.513864337513
0.75,0.42349904382905934,5995.029767838481,3606.676419691286,0.686161255216071,5023.979859659496
0.775,0.4224977919394556,6166.457885844735,3726.8989670143287,0.686161255216071,5191.445854981479
0.8,0.42149748100326057,6336.742275014272,3847.121514337372,0.686161255216071,5358.911850303462
0.8250000000000001,0.4204984569430388,6505.908442813874,3967.344061660415,0.686161255216071,5526.377845625447
0.8500000000000001,0.41950071762760044,6673.980423371104,4087.5666089834576,0.686161255216071,5693.84384094743
0.875,0.41850426893631076,6840.980902677562,4207.7891563065,0.686161255216071,5861.309836269411
0.9,0.41750912624068726,7006.931329825136,4328.011703629543,0.686161255216071,6028.775831591394
0.925,0.41651528232442336,7171.8520161653,4448.234250952586,0.686161255216071,6196.241826913379
0.9500000000000001,0.4155227382458444,7335.762223980608,4568.456798275629,0.686161255216071,6363.707822235362
0.9750000000000001,0.4145312921164135,7498.680246019183,4688.679345598672,0.686161255216071,6531.1738175573455
1.0,0.41354106535207413,7660.623477031229,4808.9018929217145,0.686161255216071,6698.639812879327
