noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_lo,p_tracked_hi,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,0.5416666666666666,0.4784677852968703,0.6035527213746664,0.03216260049141503,956.0921300269181,1.0,0.0,0.5416666666666666,0.4583333333333333
10.0,0.9988628465450922,0.575,0.5117599333670207,0.6358769786417454,0.03190970333090965,886.5581569340512,1.0,0.0,0.575,0.425
21.544346900318832,0.9975120694185607,0.5791666666666667,0.5159412597480776,0.6398977029278424,0.03186773700840769,877.8664102974429,1.0,0.0,0.5791666666666667,0.42083333333333334
46.41588833612777,0.9946519883210856,0.5625,0.49924250699978995,0.6237882530075151,0.03202172114362375,912.6333968438763,1.0,0.0,0.5625,0.4375
100.0,0.9885817370440823,0.5583333333333333,0.49507883174387257,0.6197498775962789,0.032054460312504494,921.3251434804845,1.0,0.0,0.5583333333333333,0.44166666666666665
215.44346900318823,0.9757031388458551,0.5166666666666667,0.4536811164159315,0.5791270862526832,0.03225692575648304,1008.2426098465681,1.0,0.0,0.5166666666666667,0.48333333333333334
464.15888336127773,0.9483582868499877,0.5583333333333333,0.49507883174387257,0.6197498775962789,0.032054460312504494,921.3251434804847,1.0,0.0,0.5583333333333333,0.44166666666666665
1000.0,0.8923434173447621,0.575,0.5117599333670207,0.6358769786417454,0.03190970333090965,886.5581569340513,1.0,0.0,0.575,0.425
2154.4346900318824,0.7937229615584817,0.5625,0.49924250699978995,0.6237882530075151,0.03202172114362375,912.6333968438763,1.0,0.0,0.5625,0.4375
4641.588833612777,0.6750316401283143,0.5541666666666667,0.490919533721299,0.6157071249516988,0.03208491157734311,930.0168901170929,1.0,0.0,0.5541666666666667,0.44583333333333336
10000.0,0.588205855605615,0.55,0.4867646006783032,0.611660007327541,0.032113081446662826,938.7086367537013,1.0,0.0,0.55,0.45
21544.346900318822,0.5417778630718212,0.5041666666666667,0.44134585989980735,0.5668561907673463,0.032273740544035236,1034.3178497563931,1.0,0.0,0.5041666666666667,0.49583333333333335
46415.888336127726,0.5194789916713004,0.5083333333333333,0.4454533200161677,0.5709507813181396,0.0322703782874452,1025.6261031197848,1.0,0.0,0.5083333333333333,0.49166666666666664
100000.0,0.5090501759237006,0.5416666666666666,0.4784677852968703,0.6035527213746664,0.03216260049141503,956.0921300269181,1.0,0.0,0.5416666666666666,0.4583333333333333
