noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,1.0,0.0,0.0,0.229493300669933,0.0,1.0,0.0
10.0,0.8149020532269964,1.0,0.0,0.0,0.22924040929240405,0.0,1.0,0.0
21.544346900318832,0.7195037485794543,1.0,0.0,0.0,0.2292258274172583,0.0,1.0,0.0
46.41588833612777,0.6670811245830978,1.0,0.0,0.0,0.22998408492484088,0.0,1.0,0.0
100.0,0.6409784588948678,1.0,0.0,0.0,0.24191039229410388,0.0,1.0,0.0
215.44346900318823,0.627043841480847,1.0,0.0,0.0,0.33913108689131094,0.0,1.0,0.0
464.15888336127773,0.6115278670249207,1.0,0.0,0.0,0.5276643169016432,0.0,1.0,0.0
1000.0,0.582216282145852,1.0,0.0,0.0,0.6598919274739193,0.0,1.0,0.0
2154.4346900318824,0.5496919229259313,1.0,0.0,0.0,0.7164458554144585,0.0,1.0,0.0
4641.588833612777,0.5272722086565089,1.0,0.0,0.0,0.7373046028730461,0.0,1.0,0.0
10000.0,0.5145569531613012,0.8125,0.02519455546343297,53435.74611992285,0.7451267373262673,0.0,0.8125,0.1875
21544.346900318822,0.507536458855743,0.6125,0.03144729386873641,110433.87531450723,0.7484551544845516,0.0,0.6125,0.3875
46415.888336127726,0.5037706263565925,0.5125,0.032264773747850764,138932.93991179945,0.7495579608705796,0.0,0.5125,0.4875
100000.0,0.501811495843637,0.4708333333333333,0.0322199023350705,150807.55016067118,0.7500320801253207,0.0,0.4708333333333333,0.5291666666666667
