n_voters,noise_sd,mean_ranking_accuracy,p_tracked,expected_share_optimal,expected_share_other,expected_share_abstain
101,0.0,1.0,8.181233468462779e-13,0.21251774265581064,0.7874822573441893,0.0
101,10.0,0.8149020532269964,0.017546058262654096,0.3973896925458156,0.6026103074541844,0.0
101,14.677992676220699,0.7613930040496548,0.15994134416742267,0.45075250949563017,0.5492474905043698,0.0
101,21.544346900318832,0.7195037485794543,0.4392389009798524,0.4923938629338681,0.5076061370661319,0.0
101,31.622776601683793,0.6888337189217789,0.6762833613909984,0.5227295368629128,0.4772704631370872,0.0
101,46.41588833612777,0.6670811245830978,0.812730376925602,0.5440083288216911,0.45599167117830885,0.0
101,68.12920690579611,0.651791242623648,0.8821546039162844,0.5585906198063437,0.4414093801936563,0.0
101,100.0,0.6409784588948678,0.9174442725021232,0.5684103131689321,0.4315896868310679,0.0
101,146.7799267622069,0.6331213442503975,0.9359588139744202,0.5748545605010158,0.4251454394989842,0.0
101,215.44346900318823,0.627043841480847,0.9457327303628653,0.5788436254113764,0.42115637458862365,0.0
101,316.22776601683796,0.6208692930022163,0.948355227309577,0.5800069315173625,0.4199930684826375,0.0
101,464.15888336127773,0.6115278670249207,0.939674580199002,0.5763125871507717,0.4236874128492283,0.0
101,681.2920690579608,0.5983252330341868,0.9153339353455822,0.5677460754014914,0.43225392459850864,0.0
101,1000.0,0.582216282145852,0.8697500044176057,0.5556336821007996,0.44436631789920045,0.0
101,1467.799267622069,0.5652189094846236,0.8020340242887839,0.5420849259450006,0.4579150740549994,0.0
101,2154.4346900318824,0.5496919229259313,0.7236637336439662,0.5294892497113646,0.4705107502886354,0.0
101,3162.2776601683795,0.5369949021088825,0.6513502817373558,0.5193374287965757,0.48066257120342426,0.0
101,4641.588833612777,0.5272722086565089,0.5949821831639116,0.5119559355191071,0.4880440644808929,0.0
101,6812.920690579608,0.5199964991277423,0.5560662677848129,0.5070144778768757,0.4929855221231243,0.0
101,10000.0,0.5145569531613012,0.531547363351186,0.5039382404597056,0.4960617595402944,0.0
101,14677.992676220676,0.5105131098738424,0.5169727434896542,0.5021172809139913,0.4978827190860087,0.0
101,21544.346900318822,0.507536458855743,0.5086434283209978,0.5010779987525575,0.49892200124744246,0.0
101,31622.776601683792,0.5053577127240625,0.5041235422127092,0.5005142534335256,0.4994857465664744,0.0
101,46415.888336127726,0.5037706263565925,0.5018510891770467,0.5002308490572438,0.4997691509427562,0.0
101,68129.20690579608,0.5026252439898732,0.5008117307899274,0.5001012305419683,0.4998987694580317,0.0
101,100000.0,0.501811495843637,0.5003698586730755,0.5000461248661856,0.4999538751338144,0.0
1001,0.0,1.0,0.0,0.21251774265581064,0.7874822573441893,0.0
1001,10.0,0.8149020532269964,1.6325385487903077e-11,0.3973896925458156,0.6026103074541844,0.0
1001,14.677992676220699,0.7613930040496548,0.0008696726647926534,0.45075250949563017,0.5492474905043698,0.0
1001,21.544346900318832,0.7195037485794543,0.31513370122723866,0.4923938629338681,0.5076061370661319,0.0
1001,31.622776601683793,0.6888337189217789,0.9250308065991599,0.5227295368629128,0.4772704631370872,0.0
1001,46.41588833612777,0.6670811245830978,0.9974096021981036,0.5440083288216911,0.45599167117830885,0.0
1001,68.12920690579611,0.651791242623648,0.9999054568036212,0.5585906198063437,0.4414093801936563,0.0
1001,100.0,0.6409784588948678,0.9999937850036897,0.5684103131689321,0.4315896868310679,0.0
1001,146.7799267622069,0.6331213442503975,0.9999991684755127,0.5748545605010158,0.4251454394989842,0.0
1001,215.44346900318823,0.627043841480847,0.999999781635281,0.5788436254113764,0.42115637458862365,0.0
1001,316.22776601683796,0.6208692930022163,0.9999998541223705,0.5800069315173625,0.4199930684826375,0.0
1001,464.15888336127773,0.6115278670249207,0.999999485706688,0.5763125871507717,0.4236874128492283,0.0
1001,681.2920690579608,0.5983252330341868,0.9999924312711236,0.5677460754014914,0.43225392459850864,0.0
1001,1000.0,0.582216282145852,0.9998017015086077,0.5556336821007996,0.44436631789920045,0.0
1001,1467.799267622069,0.5652189094846236,0.996235564473227,0.5420849259450006,0.4579150740549994,0.0
1001,2154.4346900318824,0.5496919229259313,0.9692059866223679,0.5294892497113646,0.4705107502886354,0.0
1001,3162.2776601683795,0.5369949021088825,0.8896245512938835,0.5193374287965757,0.48066257120342426,0.0
1001,4641.588833612777,0.5272722086565089,0.7754014077088378,0.5119559355191071,0.4880440644808929,0.0
1001,6812.920690579608,0.5199964991277423,0.6714425505202967,0.5070144778768757,0.4929855221231243,0.0
1001,10000.0,0.5145569531613012,0.5984002220690002,0.5039382404597056,0.4960617595402944,0.0
1001,14677.992676220676,0.5105131098738424,0.5532895168901368,0.5021172809139913,0.4978827190860087,0.0
1001,21544.346900318822,0.507536458855743,0.527191907694621,0.5010779987525575,0.49892200124744246,0.0
1001,31622.776601683792,0.5053577127240625,0.5129794978461363,0.5005142534335256,0.4994857465664744,0.0
1001,46415.888336127726,0.5037706263565925,0.5058273326087991,0.5002308490572438,0.4997691509427562,0.0
1001,68129.20690579608,0.5026252439898732,0.5025554400746503,0.5001012305419683,0.4998987694580317,0.0
1001,100000.0,0.501811495843637,0.5011643716016488,0.5000461248661856,0.4999538751338144,0.0
10001,0.0,1.0,0.0,0.21251774265581064,0.7874822573441893,0.0
10001,10.0,0.8149020532269964,0.0,0.3973896925458156,0.6026103074541844,0.0
10001,14.677992676220699,0.7613930040496548,0.0,0.45075250949563017,0.5492474905043698,0.0
10001,21.544346900318832,0.7195037485794543,0.06406977242112344,0.4923938629338681,0.5076061370661319,0.0
10001,31.622776601683793,0.6888337189217789,0.999997328382794,0.5227295368629128,0.4772704631370872,0.0
