noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,0.0,0.0,292438.00733286695,0.9981372696063727,0.0,0.0,1.0
10.0,0.7671366312206787,0.0,0.0,292438.00733286695,1.0,0.0,0.0,1.0
21.544346900318832,0.6968348422558364,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.41588833612777,0.657114474386768,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.636620625348622,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.6252067536399208,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.610853723999909,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.5820117289713467,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.5496341411563579,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.5272610791905178,0.9916666666666667,0.005867952826188214,2436.9833944405573,1.0,0.0,0.9916666666666667,0.008333333333333333
10000.0,0.5145611047243446,0.8125,0.02519455546343297,54832.12637491254,1.0,0.0,0.8125,0.1875
21544.346900318822,0.5075422580518917,0.5541666666666667,0.03208491157734311,130378.61160256984,1.0,0.0,0.5541666666666667,0.44583333333333336
46415.888336127726,0.5037746836956869,0.4625,0.03218396016133917,157185.428941416,1.0,0.0,0.4625,0.5375
100000.0,0.5018137370250636,0.5041666666666667,0.032273740544035236,145000.5119692132,1.0,0.0,0.5041666666666667,0.49583333333333335
