noise_sd,mean_ranking_accuracy,p_tracked,p_tracked_lo,p_tracked_hi,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,1.0,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10.0,0.8250016093896967,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21.544346900318832,0.7258829450605198,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.41588833612777,0.6703662230673825,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.642643634179008,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215.44346900318823,0.6279703463136074,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
464.15888336127773,0.6125088050337689,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1000.0,0.5832183180305298,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2154.4346900318824,0.550390271136283,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4641.588833612777,0.5277003756114796,1.0,0.9842460800584412,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10000.0,0.5148523500555513,0.8,0.7448460149230788,0.8457016331119861,0.02581988897471611,63187.23426002042,1.0,0.0,0.8,0.2
21544.346900318822,0.5077271948034189,0.5916666666666667,0.5285120335299993,0.6519330811473816,0.03172782836237918,129007.26994754169,1.0,0.0,0.5916666666666667,0.4083333333333333
46415.888336127726,0.5038847637401295,0.5541666666666667,0.490919533721299,0.6157071249516988,0.03208491157734311,140854.8763712955,1.0,0.0,0.5541666666666667,0.44583333333333336
100000.0,0.5018730166708111,0.5208333333333334,0.45780145798620797,0.5832087953495604,0.03224683267535887,151386.0820812989,1.0,0.0,0.5208333333333334,0.4791666666666667
