bias_dollars,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,0.582216282145852,1.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,0.5912927002604326,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100.0,0.6003009034781555,1.0,0.0,0.0,1.0,0.0,1.0,0.0
150.0,0.6092281286721316,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200.0,0.6180618425150526,0.7875,0.02640578771784701,60560.5122692459,1.0,0.0,0.7875,0.2125
250.0,0.6267897906166741,0.05,0.014068285846778444,270741.1136742758,1.0,0.0,0.05,0.95
300.0,0.6354000451765851,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
350.0,0.6438810508523575,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
400.0,0.6522216685573872,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
